iter	Passed	Remaining
0	29	250800
1	54	231442
2	78	221914
3	105	222132
4	130	220206
5	156	220142
6	184	222589
7	210	222107
8	233	219231
9	255	216141
10	280	215648
11	307	216311
12	334	217271
13	357	215606
14	382	215213
15	411	216960
16	437	217064
17	459	215525
18	485	215664
19	512	216138
20	534	214962
21	560	214775
22	583	213900
23	605	212828
24	629	212412
25	655	212764
26	681	212766
27	705	212489
28	731	212699
29	758	213006
30	784	213168
31	808	212958
32	834	213161
33	860	213139
34	886	213414
35	909	212859
36	934	212774
37	960	212899
38	983	212366
39	1009	212545
40	1033	212190
41	1060	212591
42	1085	212361
43	1107	211797
44	1132	211823
45	1158	211793
46	1188	212680
47	1219	213726
48	1248	214354
49	1274	214359
50	1299	214291
51	1324	214158
52	1351	214285
53	1376	214301
54	1402	214268
55	1434	215292
56	1460	215275
57	1487	215466
58	1516	215867
59	1540	215632
60	1565	215522
61	1589	215285
62	1610	214650
63	1639	215099
64	1666	215173
65	1691	215130
66	1718	215225
67	1745	215398
68	1769	215176
69	1799	215711
70	1824	215532
71	1846	215144
72	1870	214844
73	1896	214864
74	1919	214558
75	1941	214197
76	1968	214337
77	1994	214267
78	2019	214181
79	2041	213799
80	2065	213653
81	2088	213323
82	2110	212964
83	2131	212539
84	2155	212384
85	2178	212103
86	2205	212214
87	2232	212348
88	2258	212437
89	2284	212451
90	2311	212579
91	2339	212810
92	2366	212876
93	2391	212855
94	2418	212951
95	2443	212869
96	2469	212925
97	2495	212876
98	2520	212802
99	2544	212707
100	2572	212916
101	2598	212922
102	2624	212900
103	2649	212819
104	2674	212756
105	2700	212798
106	2723	212581
107	2747	212428
108	2773	212428
109	2800	212587
110	2829	212806
111	2856	212856
112	2882	212921
113	2905	212716
114	2935	212985
115	2966	213369
116	2993	213404
117	3019	213402
118	3042	213256
119	3068	213248
120	3093	213156
121	3119	213176
122	3146	213238
123	3171	213183
124	3198	213219
125	3222	213093
126	3245	212955
127	3270	212887
128	3301	213159
129	3328	213241
130	3355	213339
131	3382	213348
132	3407	213332
133	3432	213239
134	3457	213162
135	3483	213154
136	3508	213121
137	3534	213110
138	3560	213136
139	3587	213160
140	3611	213050
141	3635	212907
142	3660	212849
143	3686	212845
144	3716	213083
145	3746	213295
146	3773	213358
147	3799	213337
148	3822	213180
149	3846	213085
150	3873	213112
151	3896	212958
152	3920	212822
153	3951	213104
154	3975	213002
155	4001	212996
156	4029	213087
157	4057	213196
158	4084	213240
159	4109	213138
160	4139	213327
161	4168	213481
162	4195	213537
163	4220	213494
164	4244	213366
165	4276	213628
166	4305	213778
167	4327	213578
168	4352	213488
169	4376	213376
170	4398	213174
171	4419	212946
172	4442	212781
173	4469	212805
174	4493	212696
175	4517	212612
176	4543	212574
177	4572	212721
178	4597	212672
179	4622	212621
180	4645	212477
181	4669	212351
182	4698	212496
183	4726	212581
184	4752	212573
185	4777	212483
186	4803	212485
187	4830	212512
188	4857	212551
189	4880	212423
190	4907	212444
191	4932	212378
192	4959	212422
193	4990	212608
194	5016	212596
195	5046	212756
196	5075	212870
197	5103	212948
198	5129	212903
199	5154	212844
200	5181	212870
201	5207	212870
202	5235	212943
203	5262	212945
204	5286	212859
205	5311	212795
206	5338	212827
207	5363	212752
208	5393	212893
209	5420	212904
210	5443	212798
211	5469	212781
212	5496	212780
213	5522	212762
214	5548	212763
215	5577	212838
216	5601	212758
217	5627	212748
218	5653	212714
