,isbn,count
0,0002005018,7
1,0060973129,1
2,0374157065,5
3,0399135782,14
4,0425176428,1
5,0671870432,0
6,074322678X,1
7,0771074670,1
8,0887841740,1
9,1552041778,1
10,1558746218,2
11,1567407781,1
12,1575663937,1
13,1881320189,1
14,0440234743,135
15,0452264464,64
16,0609804618,10
17,1841721522,6
18,1879384493,1
19,0061076031,1
20,0439095026,2
21,0689821166,0
22,0971880107,465
23,0345402871,63
24,0345417623,156
25,0312978383,25
26,0425099148,5
27,0553264990,6
28,0553278398,11
29,0684823802,2
30,0891075275,17
31,0891076182,10
32,0375759778,12
33,0425163091,2
34,3404921038,2
35,0375406328,6
36,0446310786,171
37,0449005615,96
38,0060168013,19
39,038078243X,2
40,067176537X,2
41,0061099686,6
42,0553582909,10
43,0671888587,28
44,0553582747,58
45,0425182908,57
46,042518630X,26
47,0440223571,16
48,0842342702,39
49,0440225701,106
50,0060914068,3
51,0156047624,3
52,0245542957,0
53,0380715899,6
54,0964778319,1
55,0671623249,19
56,0679810307,5
57,0679865691,3
58,2070423204,1
59,0345260317,2
60,0394743741,1
61,042511774X,34
62,0804106304,156
63,1853262404,1
64,0312970242,1
65,1853260053,7
66,1414035004,1
67,0060938412,7
68,0140067477,81
69,0345465083,50
70,1558531025,33
71,0441783589,26
72,0394895894,10
73,1569871213,3
74,0375410538,8
75,0966986105,1
76,087113375X,6
77,0340767936,5
78,0743403843,1
79,0060930365,2
80,0071416331,1
81,0375509038,0
82,0553062042,1
83,0316769487,195
84,8445071408,10
85,8445071769,6
86,8445071777,5
87,0679429220,86
88,0671867156,44
89,0312252617,7
90,0312261594,11
91,0316748641,5
92,0316973742,1
93,0385235941,1
94,0446677450,33
95,0451166892,70
96,0553347594,3
97,0671621009,2
98,067976397X,27
99,0786868716,193
100,8472238822,1
101,0671864769,5
102,0671521519,2
103,0440222303,2
104,0312953453,3
105,0446608653,16
106,0446612545,83
107,0446612618,8
108,0451208080,13
109,0553584383,19
110,0671027360,216
111,0812575954,3
112,0316735736,13
113,0743439740,25
114,0345372700,2
115,0380619458,12
116,0446325805,1
117,0451406923,1
118,0671042858,76
119,0143034359,1
