isbn,book_author,publisher,language,category_high,years
0002005018,others,Flamingo,en,actresses,2020
0060973129,others,Perennial,en,others,2000
0374157065,others,Farrar Straus Giroux,en,medical,2000
0399135782,Amy Tan,Putnam Pub Group,en,fiction,2000
0425176428,others,Berkley Publishing Group,en,history,2020
0671870432,Scott Turow,Audioworks,en,fiction,2000
074322678X,Ann Beattie,Scribner,en,fiction,2020
0771074670,others,others,en,fiction,1990
0887841740,others,others,en,fiction,2020
1552041778,others,Mira,en,fiction,2000
1558746218,Jack Canfield,Health Communications,en,fiction,2000
1567407781,Loren D. Estleman,Brilliance Audio,en,fiction,2000
1575663937,others,Kensington Publishing Corp.,en,nature,2000
1881320189,others,others,en,fiction,2000
0440234743,John Grisham,Dell,en,fiction,2000
0452264464,Toni Morrison,others,en,fiction,2000
0609804618,others,Three Rivers Press,en,humor,2000
1841721522,others,others,en,cook,2020
1879384493,others,others,en,reference,2020
0061076031,Mary-Kate & Ashley Olsen,HarperEntertainment,en,fiction,2020
0439095026,others,Scholastic,en,fiction,2000
0689821166,others,Aladdin,en,fiction,2000
0971880107,others,others,en,fiction,2020
0345402871,Michael Crichton,Ballantine Books,en,fiction,2000
0345417623,others,Ballantine Books,en,fiction,2020
0312978383,Rosamunde Pilcher,St. Martin's Paperbacks,en,fiction,2020
0425099148,Agatha Christie,Berkley Publishing Group,en,fiction,2000
0553264990,Louis L'Amour,Bantam,en,fiction,1990
0553278398,ISAAC ASIMOV,Spectra,en,fiction,1990
0684823802,C.S. Lewis,Scribner,en,fiction,2000
0891075275,Frank E. Peretti,Crossway Books,en,fiction,1990
0891076182,Frank E. Peretti,Crossway Books,en,fiction,2000
0375759778,others,Random House,en,fiction,2020
0425163091,others,Berkley Publishing Group,en,fiction,2000
3404921038,Mordecai Richler,LÃ?Â¼bbe,de,fiction,2020
0375406328,others,Knopf,en,fiction,2020
0446310786,Harper Lee,Little Brown & Co,en,fiction,1990
0449005615,others,Ballantine Books,en,history,2020
0060168013,Barbara Kingsolver,Harpercollins,en,fiction,2000
038078243X,others,Avon,en,fiction,2000
067176537X,others,Fireside,en,health fitness,1980
0061099686,Anne Rivers Siddons,HarperTorch,en,fiction,2000
0553582909,Dean R. Koontz,Bantam,en,fiction,2020
0671888587,Mary Higgins Clark,Pocket,en,fiction,2000
0553582747,Dean Koontz,Bantam,en,fiction,2020
0425182908,Patricia Cornwell,Berkley Publishing Group,en,fiction,2020
042518630X,others,Berkley Publishing Group,en,fiction,2020
0440223571,Maeve Binchy,Dell,en,fiction,2000
0842342702,Tim Lahaye,Tyndale House Pub,en,fiction,2020
0440225701,JOHN GRISHAM,Dell,en,fiction,2000
0060914068,others,Collins,en,psycholog,1990
0156047624,others,Harvest Books,en,fiction,1990
0245542957,others,others,en,fiction,1990
0380715899,Mark Helprin,Avon,en,fiction,2000
0964778319,others,others,en,fiction,2020
0671623249,Larry McMurtry,Pocket,en,fiction,1990
