user_id,location_city,location_state,location_country,fix_age
8,timmins, ontario, canada,10
11400,ottawa, ontario, canada,50
11676,n/a, n/a, n/a,10
67544,toronto, ontario, canada,35
85526,victoria, british columbia, canada,40
96054,ottawa, ontario, canada,30
116866,ottawa, ,,10
123629,kingston, ontario, canada,10
177458,ottawa, ontario, canada,30
200273,others, ontario, canada,10
210926,guelph, ontario, canada,10
219008,halifax, nova scotia, canada,100
263325,fredericton, new brunswick, canada,30
2954,wichita, kansas, usa,100
152827,ottawa, ontario, canada,50
35704,kansas city, missouri, usa,100
83160,oregon city, oregon, usa,100
110912,milpitas, california, usa,40
137688,medford, new york, usa,50
157969,denver, colorado, usa,35
192665,vacaville, california, usa,50
197659,indiana, pennsylvania, usa,50
208059,others, arizona, usa,10
209163,columbus, ohio, usa,10
29526,knoxville, tennessee, usa,30
36836,raleigh, north carolina, usa,100
46398,san antonio, texas, usa,40
49300,loveland, colorado, usa,10
49635,seattle, washington, usa,10
67958,idaho falls, idaho, usa,40
113270,evanston, illinois, usa,30
113519,pleasanton, california, usa,10
115097,seattle, ,,30
136509,santa barbara, california, usa,35
148712,homer, alaska, usa,10
178269,others, california, usa,10
180297,ann arbor, michigan, usa,50
188589,klang, selangor, malaysia,30
194722,dallas, texas, usa,10
198013,sandy, oregon, usa,10
200674,pittsburg, missouri, usa,100
207148,san diego, california, usa,50
211919,jacksonville, florida, usa,40
212449,austin, texas, usa,10
213191,san diego, california, usa,10
230522,colorado springs, colorado, usa,100
236322,houston, texas, usa,10
238557,kuala lumpur, selangor, malaysia,30
242247,livonia, michigan, usa,50
245827,albuquerque, ,,10
248583,vancouver, british columbia, canada,10
252282,sammamish, washington, usa,50
252921,renton, washington, usa,30
255661,parker, colorado, usa,35
52614,others,others, usa,35
225910,others, pennsylvania, usa,20
274634,wahiawa, hawaii, usa,35
98499,toronto, ontario, canada,10
166596,greenwood, british columbia, canada,100
189238,dunedin, otago, new zealand,10
223066,ottawa, ontario, canada,100
92861,vancouver, british columbia, canada,10
3363,knoxville, tennessee, usa,30
61501,timmins, ontario, canada,10
148514,barstow, california, usa,10
174304,st. louis, missouri, usa,30
177090,ashland, missouri, usa,40
256233,glen allen, virginia, usa,10
263256,knoxville, tennessee, usa,10
176875,tampere, pirkanmaa, finland,35
213915,sheffield,others, united kingdom,30
35826,others, south carolina, usa,10
226745,humble, ,,40
9,germantown, tennessee, usa,10
243,others, minnesota, usa,10
388,nashville, tennessee, usa,40
2977,richland, washington, usa,30
3329,others, utah, usa,10
