user_id,location_city,location_state,location_country,fix_age
8,timmins,ontario,canada,10
11400,ottawa,ontario,canada,50
11676,,,,10
67544,toronto,ontario,canada,35
85526,victoria,britishcolumbia,canada,40
96054,ottawa,ontario,canada,30
116866,ottawa,ontario,canada,10
123629,kingston,ontario,canada,10
177458,ottawa,ontario,canada,30
200273,comber,ontario,canada,10
210926,guelph,ontario,canada,10
219008,halifax,novascotia,canada,100
263325,fredericton,newbrunswick,canada,30
2954,wichita,kansas,usa,100
152827,ottawa,ontario,canada,50
35704,kansascity,missouri,usa,100
83160,oregoncity,oregon,usa,100
110912,milpitas,california,usa,40
137688,medford,newyork,usa,50
157969,denver,colorado,usa,35
192665,vacaville,california,usa,50
197659,indiana,pennsylvania,usa,50
208059,payson,arizona,usa,10
209163,columbus,ohio,usa,10
29526,knoxville,tennessee,usa,30
36836,raleigh,northcarolina,usa,100
46398,sanantonio,texas,usa,40
49300,loveland,colorado,usa,10
49635,seattle,washington,usa,10
67958,idahofalls,idaho,usa,40
113270,evanston,illinois,usa,30
113519,pleasanton,california,usa,10
115097,seattle,washington,usa,30
136509,santabarbara,california,usa,35
148712,homer,alaska,usa,10
178269,harborcity,california,usa,10
180297,annarbor,michigan,usa,50
188589,klang,selangor,malaysia,30
194722,dallas,texas,usa,10
198013,sandy,utah,usa,10
200674,pittsburg,missouri,usa,100
207148,sandiego,california,usa,50
211919,jacksonville,florida,usa,40
212449,austin,texas,usa,10
213191,sandiego,california,usa,10
230522,coloradosprings,colorado,usa,100
236322,houston,texas,usa,10
238557,kualalumpur,kualalumpur,malaysia,30
242247,livonia,michigan,usa,50
245827,albuquerque,newmexico,usa,10
248583,vancouver,britishcolumbia,canada,10
252282,sammamish,washington,usa,50
252921,renton,washington,usa,30
255661,parker,colorado,usa,35
52614,toccoa,ga,usa,35
225910,annville,pennsylvania,usa,20
274634,wahiawa,hawaii,usa,35
98499,toronto,ontario,canada,10
166596,greenwood,britishcolumbia,canada,100
189238,dunedin,otago,newzealand,10
223066,ottawa,ontario,canada,100
92861,vancouver,britishcolumbia,canada,10
3363,knoxville,tennessee,usa,30
61501,timmins,ontario,canada,10
148514,barstow,california,usa,10
174304,stlouis,missouri,usa,30
177090,ashland,missouri,usa,40
256233,glenallen,virginia,usa,10
263256,knoxville,tennessee,usa,10
176875,tampere,pirkanmaa,finland,35
213915,sheffield,syorkshire,unitedkingdom,30
35826,prosperity,southcarolina,usa,10
226745,humble,texas,usa,40
9,germantown,tennessee,usa,10
243,ardenhills,minnesota,usa,10
