user_id,fix_location_state,fix_age
8,ontario,10
11400,ontario,50
11676,california,10
67544,ontario,35
85526,britishcolumbia,40
96054,ontario,30
116866,ontario,10
123629,ontario,10
177458,ontario,30
200273,ontario,10
210926,ontario,10
219008,novascotia,100
263325,newbrunswick,30
2954,kansas,100
152827,ontario,50
35704,missouri,100
83160,oregon,100
110912,california,40
137688,newyork,50
157969,colorado,35
192665,california,50
197659,pennsylvania,50
208059,arizona,10
209163,ohio,10
29526,tennessee,30
36836,northcarolina,100
46398,texas,40
49300,colorado,10
49635,washington,10
67958,idaho,40
113270,illinois,30
113519,california,10
115097,washington,30
136509,california,35
148712,alaska,10
178269,california,10
180297,michigan,50
188589,selangor,30
194722,texas,10
198013,utah,10
200674,missouri,100
207148,california,50
211919,florida,40
212449,texas,10
213191,california,10
230522,colorado,100
236322,texas,10
238557,kualalumpur,30
242247,michigan,50
245827,newmexico,10
248583,britishcolumbia,10
252282,washington,50
252921,washington,30
255661,colorado,35
52614,ga,35
225910,pennsylvania,20
274634,hawaii,35
98499,ontario,10
166596,britishcolumbia,100
189238,otago,10
223066,ontario,100
92861,britishcolumbia,10
3363,tennessee,30
61501,ontario,10
148514,california,10
174304,missouri,30
177090,missouri,40
256233,virginia,10
263256,tennessee,10
176875,pirkanmaa,35
213915,syorkshire,30
35826,southcarolina,10
226745,texas,40
9,tennessee,10
243,minnesota,10
388,tennessee,40
2977,washington,30
3329,utah,10
6795,oregon,35
7346,california,50
7352,texas,100
9419,texas,10
9747,missouri,10
9856,california,30
11224,washington,100
12685,northcarolina,10
12923,kentucky,40
13552,tennessee,35
13582,lisboa,30
14521,rhodeisland,10
16666,tennessee,10
16795,maryland,50
17761,michigan,10
19445,newyork,10
20435,alabama,100
20462,louisiana,10
20801,riodejaneiro,30
20916,massachusetts,10
21264,newjersey,35
23511,northcarolina,100
23768,missouri,50
26240,california,10
26544,virginia,40
26593,illinois,10
27684,pennsylvania,10
28123,indiana,10
28619,connecticut,10
29654,hessen,50
30487,california,50
30533,southcarolina,10
31299,pennsylvania,100
31315,indiana,35
31556,california,100
31560,southcarolina,10
31694,california,10
32516,louisiana,50
35857,ohio,40
35859,minnesota,10
36606,california,40
37874,virginia,50
38718,oregon,10
38991,texas,100
39345,florida,50
39646,pennsylvania,40
40889,minnesota,40
41781,michigan,100
44663,selangor,10
45585,california,10
46389,northcarolina,100
46767,sachsen,30
47971,ontario,50
48268,vienna,20
48911,louisiana,100
49168,westvirginia,100
49994,wisconsin,50
52584,california,50
52994,california,10
54005,washington,100
54884,newhampshire,35
55027,ontario,50
55492,illinois,50
57108,newyork,40
57423,oregon,10
57632,texas,10
59038,texas,30
59390,pennsylvania,10
60130,arkansas,50
60569,ohio,50
60683,connecticut,50
62667,virginia,100
62881,wisconsin,40
63470,nevada,100
64535,virginia,50
64679,illinois,10
66387,indiana,100
67487,victoria,35
68256,oklahoma,30
68537,texas,100
69232,northcarolina,100
70205,california,10
70666,rhodeisland,20
72523,newyork,10
72975,minnesota,30
74709,michigan,30
75691,ohio,20
75819,newyork,10
76352,washington,100
76368,britishcolumbia,10
76942,california,30
78165,emiliaromagna,10
78754,illinois,10
78834,hawaii,30
78973,lisboa,30
79186,alaska,40
79740,missouri,30
80810,missouri,35
81088,hampshire,20
81298,georgia,30
82114,california,10
82893,texas,50
83034,alaska,10
84024,texas,40
84611,california,10
85534,ohio,50
86303,colorado,35
86969,oregon,100
87257,idaho,10
87929,oregon,30
88006,california,30
90322,florida,10
91633,california,30
91832,florida,10
93055,missouri,10
93363,michigan,35
93643,texas,10
93772,oregon,10
93800,washington,100
94139,california,10
94396,washington,100
97721,california,50
98012,washington,50
98468,oregon,35
98723,ohio,30
98923,ohio,10
100009,britishcolumbia,50
100393,california,10
101209,arizona,50
102647,california,20
102967,washington,100
103315,massachusetts,35
103416,arizona,35
105124,florida,10
105937,florida,30
105979,california,30
106230,texas,10
107201,michigan,40
107244,wisconsin,100
107784,pennsylvania,10
108143,ohio,20
108247,northcarolina,10
110127,massachusetts,10
110440,virginia,30
110558,california,10
110973,westvirginia,50
112001,virginia,50
112093,massachusetts,40
112280,missouri,100
113328,newyork,10
114544,california,40
115003,northcarolina,50
115120,california,30
116127,britishcolumbia,10
116428,ontario,50
117594,illinois,30
118659,virginia,40
120396,virginia,50
120771,texas,50
122251,northdakota,35
122440,britishcolumbia,30
122658,georgia,10
123137,georgia,10
123430,southcarolina,10
123790,newyork,30
123981,arizona,50
124259,colorado,10
124363,florida,40
124487,newmexico,10
125039,indiana,30
125519,california,50
126492,illinois,35
127200,illinois,10
128185,california,40
128208,texas,35
128463,newjersey,10
129084,idaho,40
130784,washington,10
131046,connecticut,30
131681,michigan,50
131703,newyork,10
131837,utah,10
132144,washington,10
133706,westernaustralia,35
133738,indiana,30
134264,arizona,10
134797,california,10
134863,california,10
135149,florida,10
135831,virginia,10
136096,virginia,50
136396,ohio,35
136707,louisiana,100
137589,oregon,40
140824,hessen,100
141444,massachusetts,10
143134,ohio,30
143253,tennessee,30
143939,washington,10
144062,massachusetts,20
144255,hessen,10
144478,texas,40
144531,california,40
145619,connecticut,40
146113,northcarolina,10
146279,missouri,50
146816,minnesota,10
147965,florida,10
149120,michigan,10
150400,california,10
150896,britishcolumbia,35
151004,newjersey,50
151063,texas,100
152354,massachusetts,10
152696,california,10
153513,arkansas,35
153718,illinois,30
154730,california,50
155495,oregon,30
156300,california,50
159440,nord,30
159506,oregon,30
160735,minnesota,40
160819,florida,50
161870,ohio,10
163194,oregon,100
163693,georgia,40
164323,britishcolumbia,35
165618,badenwuerttemberg,10
165842,pennsylvania,10
165884,kentucky,10
166391,pennsylvania,100
167038,florida,10
167800,mississippi,100
168132,maryland,40
169403,georgia,50
170518,maryland,100
170580,california,10
171078,britishcolumbia,50
172539,colorado,10
172742,oregon,50
173415,illinois,35
173684,california,20
174642,pennsylvania,10
175117,pennsylvania,10
176477,ohio,50
176790,california,50
176894,utah,35
178130,washington,50
179068,nebraska,35
181519,ontario,10
182459,indiana,30
182746,florida,50
185384,missouri,10
185722,california,30
186570,illinois,30
187266,nebraska,100
187533,california,100
187944,newjersey,50
189655,pennsylvania,10
190741,texas,100
192353,nevada,30
192399,michigan,10
193529,missouri,100
