2022-10-25 03:05:16,229 INFO    MainThread:13118 [wandb_setup.py:_flush():68] Configure stats pid to 13118
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/level1_bookratingprediction_recsys-level1-recsys-06/wandb/settings
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/level1_bookratingprediction_recsys-level1-recsys-06/wandb/run-20221025_030516-10h8apxq/logs/debug.log
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/level1_bookratingprediction_recsys-level1-recsys-06/wandb/run-20221025_030516-10h8apxq/logs/debug-internal.log
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_init.py:init():516] calling init triggers
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_init.py:init():569] starting backend
2022-10-25 03:05:16,230 INFO    MainThread:13118 [wandb_init.py:init():573] setting up manager
2022-10-25 03:05:16,233 INFO    MainThread:13118 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-25 03:05:16,234 INFO    MainThread:13118 [wandb_init.py:init():580] backend started and connected
2022-10-25 03:05:16,237 INFO    MainThread:13118 [wandb_init.py:init():658] updated telemetry
2022-10-25 03:05:16,254 INFO    MainThread:13118 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-25 03:05:16,791 INFO    MainThread:13118 [wandb_run.py:_on_init():2000] communicating current version
2022-10-25 03:05:16,825 INFO    MainThread:13118 [wandb_run.py:_on_init():2004] got version response 
2022-10-25 03:05:16,825 INFO    MainThread:13118 [wandb_init.py:init():728] starting run threads in backend
2022-10-25 03:05:20,590 INFO    MainThread:13118 [wandb_run.py:_console_start():1980] atexit reg
2022-10-25 03:05:20,591 INFO    MainThread:13118 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-25 03:05:20,591 INFO    MainThread:13118 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-25 03:05:20,591 INFO    MainThread:13118 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-25 03:05:20,592 INFO    MainThread:13118 [wandb_init.py:init():765] run started, returning control to user process
2022-10-25 03:05:27,192 WARNING MsgRouterThr:13118 [router.py:message_loop():77] message_loop has been closed
